Latitude,Longitude,Title,Description,Intensity
8.77,1.04,Togo: Floods - Aug 2024,"<p>Seasonal forecasts of agro-hydro-climatic characteristics for
the Sahelian and Sudanian zones of West Africa and the Sahel
(PRESASS 2024) predicted above-average cumulative rainfall
for the June-August period in flood-prone areas. According to
rainfall data from the Regional Climate Center for West Africa
and the Sahel, rainfall in the Sahelian strip over the past 30
days was 120 to 600 percent above average compared to the
1991-2020 reference period. These torrential rains have
caused severe flooding, severely impacting livelihoods and
access to basic social services for more than 700,000 people in
several West and Central African countries, including the
Central African Republic, Chad, Niger, Nigeria, Mali, and Togo,
compromising their ability to meet their needs and further
weakening the food security of the most vulnerable
households. (<a rel=""noopener noreferrer"" target=""_blank"" href=""https://reliefweb/node/4090601"">FEWS NET, 30 Aug 2024</a>)</p>
",medium
8.56,-11.79,Sierra Leone: Floods - Sep 2024,"<p>The National Disaster Management Agency (NDMA) has reported extensive flooding across Sierra Leone, significantly impacting communities, farmlands, businesses, and infrastructure. By September 23, 2024, the NDMA identified 27 flood events across multiple districts, affecting 3,330 households and 23,596 people. Hardest-hit areas include Bo, Bonthe, Bombali, Falaba, Kambia, Moyamba, Tonkolili, Port Loko, Pujehun, and the Western Area. Heavy rainfall from Guinea triggered these floods, resulting in the collapse of 167 buildings, including 27 essential infrastructures like schools, hospitals, and places of worship. Additionally, 7,324 hectares of farmland have been flooded, and many roads remain impassable, disrupting local economies. Between August and 23 September, more floods were reported, displacing over 50 communities and affecting over 1,500 farmers, jeopardizing both current food supplies and long-term recovery. (<a href=""https://reliefweb.int/node/4100023"">IFRC, 08 Oct 2024</a>)</p>
",low
15.98,-23.97,Cabo Verde: Dengue Outbreak - Jun 2024,"<p>On 6 November 2023, the health authorities in Cape Verde reported a case of dengue fever in the island of Santiago. As of 23 June 2024, some 1,205 cases were reported according to CDC Africa (562 confirmed and 643 suspected) in 9 Cape Verde islands. The situation worsened at the beginning of July 2024 with the onset of the rains, with a significant peak in recent weeks. A sharp rise in the number of cases has been recorded since the beginning of July and continues until September due to the increase in rainfall and certain favourable conditions to the spread of the epidemic, despite the Government's efforts. According to the Situational Report (SITREP) for week 36, 18 September, there were around 6,238 cases, including 4,002 confirmed cases and 2 deaths on the islands of Fogo and Santiago. What's more, the epidemic is now affecting all the country’s municipalities on all islands except Santo Antão. The island of Fogo is the most affected, accounting for almost 59% of the total cases, followed by the island of Santiago with almost 37%. (<a href=""https://reliefweb.int/node/4099750"">IFRC, 7 Oct 2024</a>)</p>
",low
28.25,83.94,Nepal: Floods and Landslides - Sep 2024,"<p>Heavy rain since 26 September caused flooding and landslides in many parts of the country, particularly in central and western Nepal. According to the Nepal Police, 104 people were killed, 64 people have gone missing, and 73 people have been injured. In Kathmandu Valley alone, 37 people were killed by landslides and flash floods. At least 1,545 families are displaced. Security forces have been mobilized for ongoing search and rescue operations. The municipality, National Red Cross Society, and civil societies are responding to the affected population. Landslides have blocked many highways, and the roads reaching Kathmandu, the capital city are all blocked. (<a href=""https://reliefweb.int/node/4097674"">ECHO, 29 Sep 2024</a>)</p>
<p>The death toll and damage caused by heavy rain that has resulted in flooding and landslides in central and western Nepal is increasing. According to media, as of 30 September, at least 193 people died, including 34 in the capital Kathmandu, 31 are still missing, and 96 have been injured. In addition, three highways have been blocked by landslides isolating Kathmandu, and schools have been closed. (<a href=""https://reliefweb.int/node/4097835"">ECHO, 30 Sep 2024</a>)</p>
<p>According to media reports, as of 1 October, 217 people died, including 35 due to a landslide in Dhading district, in Bagmati province, southern Nepal. National authorities and Save the Children report that 111 people have been injured, 4,000 have been rescued, a total of 540 people have been displaced, and 5,000 have been affected. In addition, more than 54 schools and four bridges have been damaged, and 23 highways have been affected.  (<a href=""https://reliefweb.int/node/4098189"">ECHO, 1 Oct 2024</a>)</p>
<p>The rainfall recorded on 26 and 27 September has been identified as the heaviest ever recorded in Nepal's history. In response, the Nepal Red Cross Society (NRCS) activated its Simplified Early Action Protocol (sEAP) following a decision made during the advisory committee meeting (comprising NRCS and IFRC representatives) on 26 September. The sEAP was triggered to support communities living in the Babai and West Rapati river basins in the western part of the country. (<a href=""https://reliefweb.int/node/4098960"">IFRC, 3 Oct 2024</a>)</p>
<p>One week after the onset of heavy rainfall in Nepal, more than 81,000 people are estimated to be affected by floods and landslides. It is estimated that more than 230 people, including 55 children (20 girls and 35 boys) have died, with many others injured or reported missing. An estimated 4,667 houses are fully destroyed while 5,310 houses are partially damaged. Landslides and rubble have blocked major roads into the Katmandu Valley, hampering access to goods and critical services, including healthcare. Reports of increase in food prices and other essential items in the valley have begun. Access to critical services is affected, with 62 health facilities, 550 water supply systems, and 9,000 sanitation facilities damaged. UNICEF is concerned about possible disease outbreaks, including cholera and dengue fever. More than 190 schools have been damaged, affecting 23,000 students. (<a href=""https://reliefweb.int/node/4099089/"">UNICEF, 4 Oct 2024</a>)</p>
<p>As of 03 October, 236 people have been killed, 173 injured, and 19 remain missing, while 17,120 have been rescued. The estimated damage includes NPR 4.35 billion to energy infrastructure, NPR 2.5 billion to roads and bridges, and over NPR 6 billion to agriculture. Hydropower projects, schools, health facilities, and communications have been severely affected across impacted areas. [...] While the floodwater in affected areas is receding, the risk of communicable disease outbreaks is heightened, including waterborne (Acute Gastroenteritis, Cholera, Hepatitis-A/E), rodent-borne (Leptospirosis), vector-borne (Dengue, Malaria), and vaccine-preventable diseases (Tetanus, Measles). Overcrowding in displacement camps also raises concerns about COVID-19 and Influenza outbreaks, while health service disruptions may impact treatment for TB, HIV, and other diseases. (<a href=""https://reliefweb.int/node/4099545/"">UN RC Nepal, 7 Oct 2024</a>)</p>
<p>The humanitarian impact has increased following widespread floods and landslides that have affected several parts of Nepal since 26 September. The Nepal Disaster Risk Reduction Portal reports, as of 8 October, 246 fatalities, more than 200 due to landslides, 18 are still missing and 186 others have been injured. Moreover, more than 1,000 families have been affected and almost 1,500 houses have been damaged or destroyed. (<a href=""https://reliefweb.int/node/4099987/"">ECHO, 8 Oct 2024</a>)</p>
<h3>Appeals &amp; Response Plans</h3>
<ul>
<li>
<a href=""https://reliefweb.int/node/4099944""><img src=""https://reliefweb.int/sites/default/files/styles/small/public/previews/30/4f/304fd7c6-f0ee-4ded-a240-480a387a1501.png"" alt=""UN RC Nepal: Nepal: Humanitarian Needs and Priorities - Floods Response Plan, Oct - Dec 2024 (Issued 7 October 2024) - Cover preview"" /> UN RC Nepal: Nepal: Humanitarian Needs and Priorities - Floods Response Plan, Oct - Dec 2024 (Issued 7 October 2024)</a>
</li>
</ul>
",medium
49.74,15.34,Central Europe: Floods - Sep 2024,"<p>The 2024 Central European floods in the <strong>Czech Republic</strong> were caused by Storm Boris, which brought record rainfall beginning on 13 September 2024. Over 200 rivers overflowed, with Northern Moravia, particularly Jeseník, Opava, and Ostrava, among the hardest-hit areas. The rain totals in parts of Jeseník exceeded 500 mm (20 inches), surpassing previous flood records. Roads, railways, and bridges suffered extensive damage, especially in Ostrava, where train services were suspended. These regions experienced severe flooding, leading to the destruction of homes and infrastructure. Thousands of people were evacuated, and approximately 250,000 were left without electricity. [...] The situation remains critical in parts of the South Bohemian Region, where ongoing threats of further flooding persist. As of 19 September, five fatalities were reported, along with widespread displacement of about 10,000 residents. (<a href=""https://reliefweb.int/node/4097173/"">IFRC, 25 Sep 2024</a>)</p>
<p>Heavy rains brought by Storm Boris have caused severe flooding in southwestern <strong>Poland</strong>, particularly affecting the voivodeships of Dolnoslaskie, Opolskie, Slaskie, and Malopolskie. Rivers like the Morawka have overflowed, and some dams have collapsed, leading to widespread flooding. On 16 September, the Council of Ministers declared a &quot;state of natural disaster&quot; for a period of 30 days in parts of the Lower Silesian, Opole, and Silesian voivodeships. [...] As of 19 September 2024, seven people have been confirmed dead due to the flooding. The Prime Minister's Office reported that the disaster has directly affected 57,000 people, with 6,544 residents evacuated as waters continue to rise. (<a href=""https://reliefweb.int/node/4097267"">IFRC, 26 Sep 2024</a>)</p>
<p>The 2024 Central European floods in <strong>Romania</strong> were triggered by Storm Boris, which brought torrential rains to the counties of Galați and Vaslui on 14 September. In less than 24 hours, over 150 mm of rainfall per square meter caused ash floods in several areas. Galați was the hardest hit, with flood waters reaching depths of 1.5 to 2 meters in the localities of Cudalbi, Cuza-Vodă, Pechea, Slobozia-Conachi, Tudor Vladimirescu, and Costache Negri. In Vaslui, the southern localities of Zorleni, Grivița, and Trestiana were most affected. The floods caused widespread destruction, severely damaging infrastructure such as roads, bridges, power systems, and schools. More than 6,000 homes were either damaged or destroyed across both counties. Around 400 people remain displaced and are currently being sheltered in temporary housing provided by authorities. Tragically, seven deaths have been confirmed. (<a href=""https://reliefweb.int/node/4098614"">IFRC, 2 Oct 2024</a>)</p>
<p>Heavy rainfall has been affecting central <strong>Bosnia and Herzegovina</strong> (in particular the Herzegovina-Neretva canton, Federation of Bosnia and Herzegovina) since 3 October in the evening (UTC), causing severe floods and flash floods and triggering landslides that have resulted in casualties and damage. Media report, as of 7 October, 18 fatalities, dozens of people still missing and an uncertain number of injured people across the area of Jablanica town, Konjic town and Donja Jablanica village (Herzegovina-Neretva canton, approximately 70 km south-west of Sarajevo city). The Government of Federation of Bosnia and Herzegovina declared the state of emergency on 5 October for the territory of Federation of Bosnia and Herzegovina. (<a href=""https://reliefweb.int/node/4099639"">ECHO, 7 Oct 2024</a>)</p>
",low
0.53,37.86,Kenya: Polio Outbreak - Sep 2024,"<p>Kenya is currently facing a public health challenge due to an outbreak of circulating vaccine-derived poliovirus type 2 (cVDPV2) with three (3) cases confirmed so far in 2024. All are confirmed in a very volatile context with high risk of transmission and low vaccination coverage.</p>
<p>On 8th September 2024 two samples out of 60 were confirmed positive. KRCS received information from the Turkana County health department of two new polio cases in the refugee camp located in Turkana West sub-county. Over the past 12 months, Kenya has conducted rapid campaigns, vaccinating millions of children using the oral polio vaccine. In response to the new cases, the Ministry of Health, with technical guidance from the Polio-Global Eradication Initiative and WHO, has planned a Supplementary Immunization Activity (SIA) rollout for the next month. Round 1 of the SIA is scheduled for 2 to 6 October 2024. (<a href=""https://reliefweb.int/node/4097258/"">IFRC, 25 Sep 2024</a>)</p>
",high
28.16,2.63,Algeria: Floods - Sep 2024,"<p>On September 8, 2024, a severe tropical disturbance triggered widespread flooding across several provinces in southern and western Algeria. The most affected areas include Béchar, Elbayadh, Beni Abbes, Tamanrasset, Tiaret, Tindouf, and Naama. The flooding, which began around September 5th, intensified by September 8th, displacing approximately 2,220 families, some of them from nomadic communities. In Béchar, the number of displaced families surged to 2,060, which were forced to evacuate. Roads and critical infrastructure, including 4 bridges, water, and electricity systems, were severely damaged in Béchar. Rescue operations have been carried out to save and evacuate individuals trapped by rising floodwaters. In Elbayadh, 60 families have been affected, and 34 houses were damaged as floods swept through remote areas. In Beni Abbes, rising water levels cut off major roads, and there is a high risk of house damage from the overflow of the rivers at the opening of the Bechar dam. Meanwhile, in Tamanrasset, 100 families from Nomads have been affected, with search and rescue operations ongoing for missing persons following heavy flooding. Tragically, the floods have claimed five lives, including four persons in Bechar and one person in Naama. (<a href=""https://reliefweb.int/node/4095847"">IFRC, 22 Sep 2024</a>)</p>
",low
14.32,108.34,Typhoon Yagi - Sep 2024,"<p>On 7 September, Typhoon Yagi, the most powerful storm to hit the South China Sea in 30 years, made landfall in northern Viet Nam. The storm caused widespread damage in multiple provinces, with Quang Ninh and Hai Phong provinces, where wind speeds reached 213 km/h, being the most affected. 58 fatalities and 40 missing persons reported, with 746 people injured due to landslides and flash floods. Over 52,000 individuals evacuated due to severe flooding and landslides, with relocations focused on coastal and high-risk areas, including 96 households in Binh Lieu District of Quảng Ninh province. Approximately 184,000 hectares of rice, secondary crops and fruit trees were damaged or flooded, 47,566 houses damaged or destroyed, and significant damage to power infrastructure, bridges, and educational facilities. The Government of Viet Nam, with support of local authorities, mobilized a large-scale response, deploying over 438,000 officers, soldiers, communal disaster response teams, and mass organization members, assisting in evacuations, and coordinating with national and international partners for immediate relief efforts. (<a href=""https://reliefweb.int/node/4092637"">OCHA, 9 Sep 2024</a>)</p>
<p>In the <strong>Philippines,</strong> the death toll stands at 20 fatalities and 26 missing people, 22 injured and over 71,600 evacuated people, according to NDRRMC, as of 10 September. In <strong>China,</strong> the death toll stands at four fatalities and 95 injured people were reported, according to media, across the Hainan island.(<a href=""https://reliefweb.int/node/4092749"">ECHO, 10 Sep 2024</a>)</p>
<p>Heavy rains from typhoon Yagi's remnants have impacted the Philippines, Viet Nam, Northern Thailand, Laos, and Myanmar. Millions are affected in all five countries. In <strong>Viet Nam,</strong> over 150 deaths and 9,500 houses have been damaged. Two million school children face disrupted learning. In <strong>Thailand</strong>, severe weather in Northern Thailand has caused significant flooding and landslides affecting about 14,328 households. Rescue teams are responding to the flood situation. In <strong>Laos</strong>, floods in Luang Namtha province are affecting 40,255 people. Heavy rainfall has also triggered floods in northern <strong>Myanmar</strong> especially in Tachileik at the border with Thailand. The Mekong river is expected to reach danger levels in Laos and Cambodia. Needs assessments are ongoing in Viet Nam and Laos. (<a href=""https://reliefweb.int/node/4093437"">ECHO, 12 Sep 2024</a>)</p>
<p>Five days after Typhoon Yagi struck northern <strong>Viet Nam,</strong> the country is facing severe flooding and landslides as a result of heavy and prolonged rains. As of 12 September, at least 199 people are reported dead with 128 people missing. (<a href=""https://reliefweb.int/node/4093521/"">OCHA, 12 Sep 2024</a>) Approximately 3 million people have no access to safe drinking water and sanitation, causing risk of disease, and 550 health facilities and more than 800 schools have been damaged. (<a href=""https://reliefweb.int/node/4093543/"">UNICEF, 12 Sep 2024</a>)</p>
<p>Following Typhoon Yagi’s landfall on 7 September, heavy rains and flooding have severely impacted northern and central provinces in <strong>Lao PDR</strong>, with nearly 140,000 people affected. The worst-hit areas include Luang Namtha, Luang Prabang, and Vientiane Capital, along with significant impacts in Phongsaly, Oudomxay, Bokeo, Xiengkhouang, and Xayaboury. A total of 32 districts, 486 villages, and 27,972 families (139,826 people, including 59,662 women) have been affected, with 443 families evacuated and three confirmed fatalities. Current reports show floods have damaged 3,167 hectares of paddy fields, 121 houses, 41 roads, and 7 health facilities, while actual numbers are likely to be far higher. (<a href=""https://reliefweb.int/node/4094360/"">UNICEF, 17 Sep 2024</a>)</p>
<p><strong>Viet Nam</strong>: On 16 September, the VDDMA reported 291 fatalities, 38 people missing and 237,000 homes damaged as a result of the typhoon, rains and landslides. An additional 84,000 homes were flooded, and 1,530 schools and 570 health facilities were damaged. According to the Minister of Planning and Investment, initial damage assessments from the typhoon amounted to VNĐ40 trillion ($1.6 billion) in damages. Some three million people are affected, including 1.3 million people in 26 provinces who suffered from damaged and flooded homes. (<a href=""https://reliefweb.int/node/4094830/"">OCHA, 18 Sep 2024</a>)</p>
<p>Since 9 September, heavy rains caused by the monsoon season and remnants of Typhoon Yagi have led to severe flooding across <strong>Myanmar</strong>. Central Myanmar is currently the hardest hit. The flood impacted 59 townships in nine regions and states, including the state’s capital, Nay Pyi Taw, Bago, Kayah, Kayin, Magway, Mandalay, Mon, and eastern and southern Shan. There has been significant damage to road networks, transportation, telecommunications, and electricity in affected areas. Most areas remain flooded, although some townships have started to see receding water levels. While data verification is challenging, an estimated 631,000 people might have been affected by flooding across the country. (<a href=""https://reliefweb.int/node/4094685/"">OCHA, 18 Sep 2024</a>)</p>
<p><strong>Myanmar:</strong> As of 17 September, there has been 113 reported deaths. In Mandalay, more than 53,000 people were affected in Yamethin. The Sa Mone Dam breach flooded 12 villages, submerged 40,000 acres of farmland, and left 10,000 people in urgent need of aid. Flooding in Bago worsened in Taungoo Township, surpassing August flood levels and affecting 1,200 households. In total more than 87,000 people affected in six townships in Bago Region. In Eastern Shan, flash floods destroyed a key bridge, disrupting transportation and communication. Southern Shan faced widespread flooding, affecting 13 townships, with more than half the area inundated, including tourism infrastructure. In the Southeast, Mon, Kayin, and Kayah states experienced severe flooding, displacing people and damaging infrastructure, particularly in IDP camps and low-lying areas. In Nay Pyi Taw, four townships were heavily flooded, affecting around 60,000 people. (<a href=""https://reliefweb.int/node/4095010/"">IFRC &amp; Myanmar Red Cross Society, 17 Sep 2024</a>)</p>
<p>In <strong>Lao PDR,</strong> Tropical Cyclone Yagi and the Southwest Monsoon have affected 1,208 villages across 106 districts in 15 provinces, including Vientiane Capital and Borikhamxay. According to the NDMO Lao PDR, the cyclone and monsoon have resulted in seven fatalities and impacted approximately 185,800 people (76,100 families).The estimated cost of damages stands at around 7.9 million USD, with significant destruction including 252 road sections, 77 schools, 11 health facilities, 298 houses, and 24,600 hectares of agricultural land. (<a href=""https://reliefweb.int/node/4097512/"">AHA Centre, 27 Sep 2024</a>). An estimated 48,500 children have been impacted, with at least 24,000 children in need of critical support. Approximately 92,000 people are in need of water, sanitation, and health services; 10,000 children and adolescents affected by the floods are in need of community-based mental health and psychosocial support activities. (<a href=""https://reliefweb.int/node/4097732/"">UNICEF, 26 Sep 2024</a>)</p>
<p>Some 3.6 million people in nearly half (26) of <strong>Viet Nam’s</strong> 63 provinces and cities were affected by the typhoon and subsequent floods and landslides. Across the country, more than 240,599 homes, 1,530 schools, and 570 health facilities were damaged, with another 73,248 homes submerged in floodwaters. More than 72,500 people are estimated to be in need of safe shelter as a result of destroyed or severely damaged homes. About 570,000 people, including approx.163,020 children, are in need of assistance. The hardest-hit areas include rural, ethnic minorities and low-income communities where children were already facing multiple challenges. (<a href=""https://reliefweb.int/node/4099107/"">UNICEF, 1 Oct 2024</a>)</p>
<h3>Appeals &amp; Response Plans</h3>
<ul>
<li>
<a href=""https://reliefweb.int/node/4094953""><img src=""https://reliefweb.int/sites/default/files/styles/small/public/previews/6a/4a/6a4a10ba-2fee-494e-80bf-48f26c03856d.png"" alt=""IFRC: Myanmar, Asia Pacific | Flood Typhoon Yagi - Emergency Appeal n° MDRMM021 - Cover preview"" /> IFRC: Myanmar, Asia Pacific | Flood Typhoon Yagi - Emergency Appeal n° MDRMM021</a>
</li>
<li>
<a href=""https://reliefweb.int/node/4094999""><img src=""https://reliefweb.int/sites/default/files/styles/small/public/previews/48/ca/48cac26a-9828-4138-abeb-5c6da4526e20.png"" alt=""IFRC: Viet Nam, Asia Pacific | Flood Typhoon Yagi - Emergency Appeal n° MDRVN024 - Cover preview"" /> IFRC: Viet Nam, Asia Pacific | Flood Typhoon Yagi - Emergency Appeal n° MDRVN024</a>
</li>
</ul>
",medium
6.57,20.48,Central African Republic: Floods - Aug 2024,"<p>Recent torrential rains and strong winds have destroyed 1,700 houses and caused the displacing of a further 3,300 people. (<a href=""https://reliefweb.int/node/4091171"">UNFPA, 3 Sep 2024</a>)</p>
<p>In the Central African Republic (CAR), torrential rains and strong winds affected 2,700 people and destroyed 500 buildings (OCHA) during the month of August. On 18 August, Mbomou prefecture was severely impacted; several people were injured, including a pregnant woman who had to be evacuated to Bangassou hospital for medical care. In addition, around 186 houses were damaged, including temporary shelters for asylum seekers. Heavy rain and
strong winds also hit Moyenne-Sido, in the sub-prefecture of Kabo, destroying 139 houses. (<a href=""https://reliefweb.int/node/4092557"">UNFPA, 9 Sep 2024</a>)</p>
",high
15.94,47.62,Yemen: Cholera Outbreak - Mar 2024,"<p>Since mid-March 2024, Yemen has seen a dramatic surge in AWD cases, with 29 536 suspected cases reported by 25 April 2024. With heavy seasonal rains affecting already fragile water and sanitation systems, each day currently brings 500 to 1000 new cases, making the situation even more urgent. (<a href=""https://reliefweb.int/node/4082394"">WHO, 30 Jul 2024</a>)</p>
<p>It has been six months since the latest outbreak began. As of 7 September 2024, data from the Ministry of Public Health and Population (MoPHP) reports a cumulative total of over 186,000 suspected cases of AWD/cholera across all 22 governorates in Yemen since mid-March. Reported associated deaths have reached more than 680. The highest caseloads have been reported the western highland governorates, with the latest data reporting hotspots in Ad Dhale’, Al Bayda, Al Hodeidah,  Al Jawf, Amran, Hajjah, Marib and Raymah governorates. (<a href=""https://reliefweb.int/node/4097783"">WHO, 30 Sep 2024</a>)</p>
",low
